ID,Ppt,Age,Modality,Gender,DigitSpan,Position,Correct,ACC,Condition,Triplet,DigitSpan_c,Ultimate,Pos_c,Pos_c2
oral_12,12,21,oral,F,8,3,15,1,Intonation B,3,1.4102564102564106,ultimate,-2,4
oral_12,12,21,oral,F,8,4,13,0.8666666666666667,Intonation B,1,1.4102564102564106,not,-1,1
oral_12,12,21,oral,F,8,5,13,0.8666666666666667,Intonation B,2,1.4102564102564106,not,0,0
oral_12,12,21,oral,F,8,6,14,0.9333333333333333,Intonation B,3,1.4102564102564106,ultimate,1,1
oral_12,12,21,oral,F,8,7,13,0.8666666666666667,Intonation B,1,1.4102564102564106,not,2,4
oral_12,12,21,oral,F,8,8,13,0.8666666666666667,Intonation B,2,1.4102564102564106,not,3,9
oral_12,12,21,oral,F,8,9,15,1,Intonation B,3,1.4102564102564106,not,4,16
oral_12,12,21,oral,F,8,1,14,0.9333333333333333,Control,1,1.4102564102564106,not,-4,16
oral_12,12,21,oral,F,8,2,15,1,Control,2,1.4102564102564106,not,-3,9
oral_12,12,21,oral,F,8,3,14,0.9333333333333333,Control,3,1.4102564102564106,ultimate,-2,4
oral_12,12,21,oral,F,8,4,11,0.7333333333333333,Control,1,1.4102564102564106,not,-1,1
oral_12,12,21,oral,F,8,5,12,0.8,Control,2,1.4102564102564106,not,0,0
oral_12,12,21,oral,F,8,6,11,0.7333333333333333,Control,3,1.4102564102564106,ultimate,1,1
oral_12,12,21,oral,F,8,7,9,0.6,Control,1,1.4102564102564106,not,2,4
oral_12,12,21,oral,F,8,8,8,0.5333333333333333,Control,2,1.4102564102564106,not,3,9
oral_12,12,21,oral,F,8,9,12,0.8,Control,3,1.4102564102564106,not,4,16
oral_12,12,21,oral,F,8,1,13,0.8666666666666667,Pause,1,1.4102564102564106,not,-4,16
oral_12,12,21,oral,F,8,2,12,0.8,Pause,2,1.4102564102564106,not,-3,9
oral_12,12,21,oral,F,8,3,13,0.8666666666666667,Pause,3,1.4102564102564106,ultimate,-2,4
oral_12,12,21,oral,F,8,4,10,0.6666666666666666,Pause,1,1.4102564102564106,not,-1,1
oral_12,12,21,oral,F,8,5,10,0.6666666666666666,Pause,2,1.4102564102564106,not,0,0
oral_12,12,21,oral,F,8,6,9,0.6,Pause,3,1.4102564102564106,ultimate,1,1
oral_12,12,21,oral,F,8,7,5,0.3333333333333333,Pause,1,1.4102564102564106,not,2,4
oral_12,12,21,oral,F,8,8,6,0.4,Pause,2,1.4102564102564106,not,3,9
oral_12,12,21,oral,F,8,9,9,0.6,Pause,3,1.4102564102564106,not,4,16
oral_13,13,25,oral,F,7,1,14,0.9333333333333333,Intonation A,1,0.4102564102564106,not,-4,16
oral_13,13,25,oral,F,7,2,13,0.8666666666666667,Intonation A,2,0.4102564102564106,not,-3,9
oral_13,13,25,oral,F,7,3,14,0.9333333333333333,Intonation A,3,0.4102564102564106,ultimate,-2,4
oral_13,13,25,oral,F,7,4,8,0.5333333333333333,Intonation A,1,0.4102564102564106,not,-1,1
oral_13,13,25,oral,F,7,5,6,0.4,Intonation A,2,0.4102564102564106,not,0,0
oral_13,13,25,oral,F,7,6,8,0.5333333333333333,Intonation A,3,0.4102564102564106,ultimate,1,1
oral_13,13,25,oral,F,7,7,8,0.5333333333333333,Intonation A,1,0.4102564102564106,not,2,4
oral_13,13,25,oral,F,7,8,3,0.2,Intonation A,2,0.4102564102564106,not,3,9
oral_13,13,25,oral,F,7,9,8,0.5333333333333333,Intonation A,3,0.4102564102564106,not,4,16
oral_13,13,25,oral,F,7,1,15,1,Intonation B,1,0.4102564102564106,not,-4,16
oral_13,13,25,oral,F,7,2,14,0.9333333333333333,Intonation B,2,0.4102564102564106,not,-3,9
oral_13,13,25,oral,F,7,3,12,0.8,Intonation B,3,0.4102564102564106,ultimate,-2,4
oral_13,13,25,oral,F,7,4,9,0.6,Intonation B,1,0.4102564102564106,not,-1,1
oral_13,13,25,oral,F,7,5,7,0.4666666666666667,Intonation B,2,0.4102564102564106,not,0,0
oral_13,13,25,oral,F,7,6,7,0.4666666666666667,Intonation B,3,0.4102564102564106,ultimate,1,1
oral_13,13,25,oral,F,7,7,2,0.13333333333333333,Intonation B,1,0.4102564102564106,not,2,4
oral_13,13,25,oral,F,7,8,1,0.06666666666666667,Intonation B,2,0.4102564102564106,not,3,9
oral_13,13,25,oral,F,7,9,5,0.3333333333333333,Intonation B,3,0.4102564102564106,not,4,16
oral_13,13,25,oral,F,7,1,15,1,Control,1,0.4102564102564106,not,-4,16
oral_13,13,25,oral,F,7,2,11,0.7333333333333333,Control,2,0.4102564102564106,not,-3,9
oral_13,13,25,oral,F,7,3,8,0.5333333333333333,Control,3,0.4102564102564106,ultimate,-2,4
oral_13,13,25,oral,F,7,4,9,0.6,Control,1,0.4102564102564106,not,-1,1
oral_13,13,25,oral,F,7,5,7,0.4666666666666667,Control,2,0.4102564102564106,not,0,0
oral_13,13,25,oral,F,7,6,5,0.3333333333333333,Control,3,0.4102564102564106,ultimate,1,1
oral_13,13,25,oral,F,7,7,2,0.13333333333333333,Control,1,0.4102564102564106,not,2,4
oral_13,13,25,oral,F,7,8,0,0,Control,2,0.4102564102564106,not,3,9
oral_13,13,25,oral,F,7,9,0,0,Control,3,0.4102564102564106,not,4,16
oral_13,13,25,oral,F,7,1,15,1,Pause,1,0.4102564102564106,not,-4,16
oral_13,13,25,oral,F,7,2,12,0.8,Pause,2,0.4102564102564106,not,-3,9
oral_13,13,25,oral,F,7,3,10,0.6666666666666666,Pause,3,0.4102564102564106,ultimate,-2,4
oral_13,13,25,oral,F,7,4,7,0.4666666666666667,Pause,1,0.4102564102564106,not,-1,1
oral_13,13,25,oral,F,7,5,4,0.26666666666666666,Pause,2,0.4102564102564106,not,0,0
oral_13,13,25,oral,F,7,6,3,0.2,Pause,3,0.4102564102564106,ultimate,1,1
oral_13,13,25,oral,F,7,7,2,0.13333333333333333,Pause,1,0.4102564102564106,not,2,4
oral_13,13,25,oral,F,7,8,2,0.13333333333333333,Pause,2,0.4102564102564106,not,3,9
oral_13,13,25,oral,F,7,9,0,0,Pause,3,0.4102564102564106,not,4,16
oral_14,14,21,oral,F,7,1,13,0.8666666666666667,Intonation A,1,0.4102564102564106,not,-4,16
oral_14,14,21,oral,F,7,2,14,0.9333333333333333,Intonation A,2,0.4102564102564106,not,-3,9
oral_14,14,21,oral,F,7,3,15,1,Intonation A,3,0.4102564102564106,ultimate,-2,4
oral_14,14,21,oral,F,7,4,9,0.6,Intonation A,1,0.4102564102564106,not,-1,1
oral_14,14,21,oral,F,7,5,11,0.7333333333333333,Intonation A,2,0.4102564102564106,not,0,0
oral_14,14,21,oral,F,7,6,15,1,Intonation A,3,0.4102564102564106,ultimate,1,1
oral_14,14,21,oral,F,7,7,6,0.4,Intonation A,1,0.4102564102564106,not,2,4
oral_14,14,21,oral,F,7,8,9,0.6,Intonation A,2,0.4102564102564106,not,3,9
oral_14,14,21,oral,F,7,9,13,0.8666666666666667,Intonation A,3,0.4102564102564106,not,4,16
oral_14,14,21,oral,F,7,1,12,0.8,Intonation B,1,0.4102564102564106,not,-4,16
oral_14,14,21,oral,F,7,2,14,0.9333333333333333,Intonation B,2,0.4102564102564106,not,-3,9
oral_14,14,21,oral,F,7,3,15,1,Intonation B,3,0.4102564102564106,ultimate,-2,4
oral_14,14,21,oral,F,7,4,8,0.5333333333333333,Intonation B,1,0.4102564102564106,not,-1,1
oral_14,14,21,oral,F,7,5,12,0.8,Intonation B,2,0.4102564102564106,not,0,0
oral_14,14,21,oral,F,7,6,14,0.9333333333333333,Intonation B,3,0.4102564102564106,ultimate,1,1
oral_14,14,21,oral,F,7,7,6,0.4,Intonation B,1,0.4102564102564106,not,2,4
oral_14,14,21,oral,F,7,8,7,0.4666666666666667,Intonation B,2,0.4102564102564106,not,3,9
oral_14,14,21,oral,F,7,9,14,0.9333333333333333,Intonation B,3,0.4102564102564106,not,4,16
oral_14,14,21,oral,F,7,1,14,0.9333333333333333,Control,1,0.4102564102564106,not,-4,16
oral_14,14,21,oral,F,7,2,13,0.8666666666666667,Control,2,0.4102564102564106,not,-3,9
oral_14,14,21,oral,F,7,3,12,0.8,Control,3,0.4102564102564106,ultimate,-2,4
oral_14,14,21,oral,F,7,4,7,0.4666666666666667,Control,1,0.4102564102564106,not,-1,1
oral_14,14,21,oral,F,7,5,9,0.6,Control,2,0.4102564102564106,not,0,0
oral_14,14,21,oral,F,7,6,9,0.6,Control,3,0.4102564102564106,ultimate,1,1
oral_14,14,21,oral,F,7,7,5,0.3333333333333333,Control,1,0.4102564102564106,not,2,4
oral_14,14,21,oral,F,7,8,6,0.4,Control,2,0.4102564102564106,not,3,9
oral_14,14,21,oral,F,7,9,10,0.6666666666666666,Control,3,0.4102564102564106,not,4,16
oral_14,14,21,oral,F,7,1,14,0.9333333333333333,Pause,1,0.4102564102564106,not,-4,16
oral_14,14,21,oral,F,7,2,14,0.9333333333333333,Pause,2,0.4102564102564106,not,-3,9
oral_14,14,21,oral,F,7,3,15,1,Pause,3,0.4102564102564106,ultimate,-2,4
oral_14,14,21,oral,F,7,4,7,0.4666666666666667,Pause,1,0.4102564102564106,not,-1,1
oral_14,14,21,oral,F,7,5,9,0.6,Pause,2,0.4102564102564106,not,0,0
oral_14,14,21,oral,F,7,6,14,0.9333333333333333,Pause,3,0.4102564102564106,ultimate,1,1
oral_14,14,21,oral,F,7,7,4,0.26666666666666666,Pause,1,0.4102564102564106,not,2,4
oral_14,14,21,oral,F,7,8,4,0.26666666666666666,Pause,2,0.4102564102564106,not,3,9
oral_14,14,21,oral,F,7,9,15,1,Pause,3,0.4102564102564106,not,4,16
oral_15,15,21,oral,F,7,1,13,0.8666666666666667,Intonation A,1,0.4102564102564106,not,-4,16
oral_15,15,21,oral,F,7,2,11,0.7333333333333333,Intonation A,2,0.4102564102564106,not,-3,9
oral_15,15,21,oral,F,7,3,13,0.8666666666666667,Intonation A,3,0.4102564102564106,ultimate,-2,4
oral_15,15,21,oral,F,7,4,11,0.7333333333333333,Intonation A,1,0.4102564102564106,not,-1,1
oral_15,15,21,oral,F,7,5,9,0.6,Intonation A,2,0.4102564102564106,not,0,0
oral_15,15,21,oral,F,7,6,13,0.8666666666666667,Intonation A,3,0.4102564102564106,ultimate,1,1
oral_15,15,21,oral,F,7,7,5,0.3333333333333333,Intonation A,1,0.4102564102564106,not,2,4
oral_15,15,21,oral,F,7,8,6,0.4,Intonation A,2,0.4102564102564106,not,3,9
oral_15,15,21,oral,F,7,9,13,0.8666666666666667,Intonation A,3,0.4102564102564106,not,4,16
oral_15,15,21,oral,F,7,1,14,0.9333333333333333,Intonation B,1,0.4102564102564106,not,-4,16
oral_15,15,21,oral,F,7,2,15,1,Intonation B,2,0.4102564102564106,not,-3,9
oral_15,15,21,oral,F,7,3,15,1,Intonation B,3,0.4102564102564106,ultimate,-2,4
oral_15,15,21,oral,F,7,4,11,0.7333333333333333,Intonation B,1,0.4102564102564106,not,-1,1
oral_15,15,21,oral,F,7,5,12,0.8,Intonation B,2,0.4102564102564106,not,0,0
oral_15,15,21,oral,F,7,6,14,0.9333333333333333,Intonation B,3,0.4102564102564106,ultimate,1,1
oral_15,15,21,oral,F,7,7,7,0.4666666666666667,Intonation B,1,0.4102564102564106,not,2,4
oral_15,15,21,oral,F,7,8,7,0.4666666666666667,Intonation B,2,0.4102564102564106,not,3,9
oral_15,15,21,oral,F,7,9,13,0.8666666666666667,Intonation B,3,0.4102564102564106,not,4,16
oral_15,15,21,oral,F,7,1,15,1,Control,1,0.4102564102564106,not,-4,16
oral_15,15,21,oral,F,7,2,12,0.8,Control,2,0.4102564102564106,not,-3,9
oral_15,15,21,oral,F,7,3,10,0.6666666666666666,Control,3,0.4102564102564106,ultimate,-2,4
oral_15,15,21,oral,F,7,4,10,0.6666666666666666,Control,1,0.4102564102564106,not,-1,1
oral_15,15,21,oral,F,7,5,7,0.4666666666666667,Control,2,0.4102564102564106,not,0,0
oral_15,15,21,oral,F,7,6,6,0.4,Control,3,0.4102564102564106,ultimate,1,1
oral_15,15,21,oral,F,7,7,2,0.13333333333333333,Control,1,0.4102564102564106,not,2,4
oral_15,15,21,oral,F,7,8,2,0.13333333333333333,Control,2,0.4102564102564106,not,3,9
oral_15,15,21,oral,F,7,9,4,0.26666666666666666,Control,3,0.4102564102564106,not,4,16
oral_15,15,21,oral,F,7,1,12,0.8,Pause,1,0.4102564102564106,not,-4,16
oral_15,15,21,oral,F,7,2,11,0.7333333333333333,Pause,2,0.4102564102564106,not,-3,9
oral_15,15,21,oral,F,7,3,9,0.6,Pause,3,0.4102564102564106,ultimate,-2,4
oral_15,15,21,oral,F,7,4,8,0.5333333333333333,Pause,1,0.4102564102564106,not,-1,1
oral_15,15,21,oral,F,7,5,6,0.4,Pause,2,0.4102564102564106,not,0,0
oral_15,15,21,oral,F,7,6,5,0.3333333333333333,Pause,3,0.4102564102564106,ultimate,1,1
oral_15,15,21,oral,F,7,7,6,0.4,Pause,1,0.4102564102564106,not,2,4
oral_15,15,21,oral,F,7,8,1,0.06666666666666667,Pause,2,0.4102564102564106,not,3,9
oral_15,15,21,oral,F,7,9,3,0.2,Pause,3,0.4102564102564106,not,4,16
oral_16,16,28,oral,F,7,1,12,0.8,Intonation A,1,0.4102564102564106,not,-4,16
oral_16,16,28,oral,F,7,2,13,0.8666666666666667,Intonation A,2,0.4102564102564106,not,-3,9
oral_16,16,28,oral,F,7,3,15,1,Intonation A,3,0.4102564102564106,ultimate,-2,4
oral_16,16,28,oral,F,7,4,10,0.6666666666666666,Intonation A,1,0.4102564102564106,not,-1,1
oral_16,16,28,oral,F,7,5,12,0.8,Intonation A,2,0.4102564102564106,not,0,0
oral_16,16,28,oral,F,7,6,14,0.9333333333333333,Intonation A,3,0.4102564102564106,ultimate,1,1
oral_16,16,28,oral,F,7,7,6,0.4,Intonation A,1,0.4102564102564106,not,2,4
oral_16,16,28,oral,F,7,8,10,0.6666666666666666,Intonation A,2,0.4102564102564106,not,3,9
oral_16,16,28,oral,F,7,9,13,0.8666666666666667,Intonation A,3,0.4102564102564106,not,4,16
oral_16,16,28,oral,F,7,1,12,0.8,Intonation B,1,0.4102564102564106,not,-4,16
oral_16,16,28,oral,F,7,2,11,0.7333333333333333,Intonation B,2,0.4102564102564106,not,-3,9
oral_16,16,28,oral,F,7,3,13,0.8666666666666667,Intonation B,3,0.4102564102564106,ultimate,-2,4
oral_16,16,28,oral,F,7,4,8,0.5333333333333333,Intonation B,1,0.4102564102564106,not,-1,1
oral_16,16,28,oral,F,7,5,6,0.4,Intonation B,2,0.4102564102564106,not,0,0
oral_16,16,28,oral,F,7,6,12,0.8,Intonation B,3,0.4102564102564106,ultimate,1,1
oral_16,16,28,oral,F,7,7,4,0.26666666666666666,Intonation B,1,0.4102564102564106,not,2,4
oral_16,16,28,oral,F,7,8,4,0.26666666666666666,Intonation B,2,0.4102564102564106,not,3,9
oral_16,16,28,oral,F,7,9,12,0.8,Intonation B,3,0.4102564102564106,not,4,16
oral_16,16,28,oral,F,7,1,13,0.8666666666666667,Control,1,0.4102564102564106,not,-4,16
oral_16,16,28,oral,F,7,2,11,0.7333333333333333,Control,2,0.4102564102564106,not,-3,9
oral_16,16,28,oral,F,7,3,6,0.4,Control,3,0.4102564102564106,ultimate,-2,4
oral_16,16,28,oral,F,7,4,5,0.3333333333333333,Control,1,0.4102564102564106,not,-1,1
oral_16,16,28,oral,F,7,5,2,0.13333333333333333,Control,2,0.4102564102564106,not,0,0
oral_16,16,28,oral,F,7,6,4,0.26666666666666666,Control,3,0.4102564102564106,ultimate,1,1
oral_16,16,28,oral,F,7,7,0,0,Control,1,0.4102564102564106,not,2,4
